Player ID,Name,First Name,Last Name,Team,Position,Secondary Position,Status,Draft Rank,Games Played,Starts,Tries Scored,Try Assists,Line Breaks,Line Break Assists,Defenders Beaten,Metres Gained,Offloads,Tackles Made,Tackles Missed,Turnovers Forced,Interceptions,50:22s,Penalties Conceded,Errors,Lineouts Won,Lineout Steals,Lineout Errors,Scrums Won,Conversions,Conversions Missed,Penalty Goals,Penalty Goals Missed,Drop Goals,Drop Goals Missed,Yellow Cards,Red Cards
P.Ahki,P. Ahki,Pita,Ahki,BLU,CE,,Starting,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Boshier,K. Boshier,Kaylum,Boshier,CHI,LF,,Starting,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Tamani,J. Tamani,Joseva,Tamani,DRU,LF,LK,,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.Bridge,G. Bridge,George,Bridge,FOR,CE,OB,Starting,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.Oviedo,L. Oviedo,Lionel,Oviedo,FOR,HO,,Benched,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Pietsch,D. Pietsch,Dylan,Pietsch,FOR,OB,,Foot - Short Term,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Valetini,R. Valetini,Rob,Valetini,BRU,LF,,Starting,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O.Norris,O. Norris,Ollie,Norris,CHI,PR,,,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Hastie,N. Hastie,Nathan,Hastie,FOR,HB,,Starting,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H.Stewart,H. Stewart,Hamish,Stewart,FOR,CE,OB,Starting,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Eklund,K. Eklund,Kurt,Eklund,BLU,HO,,,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K.Koteka,K. Koteka,Kane,Koteka,FOR,LF,,,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Taylor,J. Taylor,Jack,Taylor,HIG,HO,,Starting,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Canham,J. Canham,Josh,Canham,RED,LK,,Starting,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Barrett,S. Barrett,Scott,Barrett,CRU,LK,LF,,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.Punivai,N. Punivai,Ngatungane,Punivai,HUR,OB,CE,,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Ryan,T. Ryan,Tim,Ryan,RED,OB,,Starting,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Pearce,M. Pearce,Marley,Pearce,FOR,PR,,,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X.Taele,X. Taele,Xavi,Taele,BLU,CE,,Benched,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Swain,D. Swain,Darcy,Swain,FOR,LK,,Benched,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
